lga_code,lga_name,ovrwgt_p_1_count
10050,albury,13972.0
10130,armidale regional,7113.0
10250,ballina,10515.0
10300,balranald,723.0
10470,bathurst regional,10954.0
10550,bega valley,8883.0
10600,bellingen,3726.0
10650,berrigan,2532.0
10750,blacktown,72705.0
10800,bland,1889.0
10850,blayney,2314.0
10900,blue mountains,16678.0
10950,bogan,951.0
11100,botany bay,9077.0
11150,bourke,10000.0
11200,brewarrina,10000.0
11250,broken hill,5464.0
13910,hilltops,5322.0
14000,hornsby,21746.0
14100,hunters hill,2093.0
14170,inner west,28161.0
14200,inverell,4905.0
14300,junee,1904.0
14350,kempsey,8941.0
14400,kiama,4779.0
14500,ku-ring-gai,13206.0
14550,kyogle,3108.0
14600,lachlan,2188.0
14650,lake macquarie,48687.0
14700,lane cove,4116.0
14750,leeton,3313.0
14850,lismore,11900.0
14870,lithgow,6414.0
14900,liverpool,43613.0
14920,liverpool plains,2557.0
14950,lockhart,914.0
15050,maitland,20664.0
15240,mid-coast,28225.0
15270,mid-western regional,6774.0
15300,moree plains,4159.0
15350,mosman,3631.0
15520,murray river,3575.0
15560,murrumbidgee,1207.0
15650,muswellbrook,4602.0
15700,nambucca,6015.0
15750,narrabri,4103.0
15800,narrandera,1759.0
15850,narromine,2127.0
15900,newcastle,34891.0
15950,north sydney,8669.0
15990,northern beaches,43912.0
16100,oberon,1672.0
16150,orange,11260.0
16200,parkes,4371.0
16260,parramatta,39505.0
16350,penrith,47178.0
11300,burwood,5349.0
11350,byron,7118.0
11400,cabonne,3954.0
11450,camden,17046.0
11500,campbelltown,38837.0
11520,canada bay,14170.0
11570,canterbury-bankstown,68218.0
11600,carrathool,841.0
11650,central coast,81887.0
11700,central darling,590.0
11720,cessnock,16405.0
11730,clarence valley,16030.0
11750,cobar,1549.0
11800,coffs harbour,19688.0
12000,coolamon,1262.0
12150,coonamble,1324.0
12350,cowra,3551.0
12380,cumberland,42413.0
12700,dungog,2851.0
12730,edward river,2452.0
12750,eurobodalla,10128.0
12850,fairfield,39617.0
12870,federation,3813.0
12900,forbes,3098.0
12930,georges river,24450.0
12950,gilgandra,1410.0
13010,glen innes severn,2985.0
13310,goulburn mulwaree,8326.0
13340,greater hume shire,2735.0
13450,griffith,7204.0
13510,gundagai,3559.0
13550,gunnedah,3743.0
13660,gwydir,1660.0
13800,hawkesbury,14930.0
13850,hay,935.0
16380,port macquarie-hastings,21885.0
16400,port stephens,18989.0
16490,queanbeyan-palerang regional,13853.0
16550,randwick,23438.0
16610,richmond valley,7141.0
16650,rockdale,19657.0
16700,ryde,17061.0
16900,shellharbour,17118.0
16950,shoalhaven,28471.0
17000,singleton,6248.0
17040,snowy monaro regional,5527.0
17080,snowy valleys,4526.0
17420,the hills shire,28270.0
17550,tweed,25267.0
17620,upper hunter shire,4172.0
17640,upper lachlan shire,2396.0
17650,uralla,1905.0
17750,wagga wagga,16991.0
17850,walcha,919.0
17900,walgett,902.0
17950,warren,899.0
18020,warrumbungle shire,3067.0
18050,waverley,9252.0
18100,weddin,1180.0
18200,wentworth,2091.0
18230,western plains regional,14671.0
18250,willoughby,8261.0
18350,wingecarribee,11992.0
18400,wollondilly,11199.0
18450,wollongong,46246.0
18500,woollahra,7022.0
18710,yass valley,4140.0
19399,unincorporated nsw,3000.0
17150,sutherland shire,45049.0
17200,sydney,27244.0
17310,tamworth regional,17854.0
17350,temora,1870.0
17400,tenterfield,2348.0
17100,strathfield,5373.0
