LGA Code,2016 Local Government Area Name,Usual residence population 2016 Census,,,
30250,Aurukun,"1,269",,,
30300,Balonne,"4,377",,,
30370,Banana,"14,319",,,
30410,Barcaldine,"2,865",,,
30450,Barcoo,267,,,
30760,Blackall-Tambo,"1,903",,,
30900,Boulia,426,,,
31000,Brisbane,"1,131,155",,,
31750,Bulloo,353,,,
31820,Bundaberg,"92,897",,,
31900,Burdekin,"17,074",,,
31950,Burke,328,,,
32080,Cairns,"156,901",,,
32250,Carpentaria,"1,958",,,
32260,Cassowary Coast,"28,726",,,
32270,Central Highlands,"27,999",,,
32310,Charters Towers,"11,876",,,
32330,Cherbourg,"1,269",,,
32450,Cloncurry,"3,032",,,
32500,Cook,"4,226",,,
32600,Croydon,294,,,
32750,Diamantina,291,,,
32770,Doomadgee,"1,405",,,
32810,Douglas,"11,714",,,
33100,Etheridge,799,,,
33200,Flinders,"1,536",,,
33220,Fraser Coast,"101,504",,,
33360,Gladstone,"61,640",,,
33430,Gold Coast,"555,721",,,
33610,Goondiwindi,"10,630",,,
33620,Gympie,"49,559",,,
33800,Hinchinbrook,"10,885",,,
33830,Hope Vale,918,,,
33960,Ipswich,"193,733",,,
33980,Isaac,"20,940",,,
34420,Kowanyama,944,,,
34530,Livingstone,"36,272",,,
34570,Lockhart River,712,,,
34580,Lockyer Valley,"38,609",,,
34590,Logan,"303,386",,,
34710,Longreach,"3,660",,,
34770,Mackay,"114,969",,,
34800,McKinlay,796,,,
34830,Mapoon,310,,,
34860,Maranoa,"12,666",,,
34880,Mareeba,"21,557",,,
35010,Moreton Bay,"425,302",,,
35250,Mornington,"1,143",,,
35300,Mount Isa,"18,671",,,
35600,Murweh,"4,307",,,
35670,Napranum,957,,,
35740,Noosa,"52,149",,,
35760,North Burnett,"10,478",,,
35780,Northern Peninsula Area,"2,796",,,
35790,Palm Island,"2,446",,,
35800,Paroo,"1,640",,,
36070,Pormpuraaw,749,,,
36150,Quilpie,813,,,
36250,Redland,"147,010",,,
36300,Richmond,791,,,
36370,Rockhampton,"79,726",,,
36510,Scenic Rim,"40,072",,,
36580,Somerset,"24,597",,,
36630,South Burnett,"32,186",,,
36660,Southern Downs,"35,110",,,
36720,Sunshine Coast,"294,367",,,
36820,Tablelands,"24,827",,,
36910,Toowoomba,"160,779",,,
36950,Torres,"3,610",,,
36960,Torres Strait Island,"4,514",,,
37010,Townsville,"186,757",,,
37300,Weipa,"3,905",,,
37310,Western Downs,"33,444",,,
37340,Whitsunday,"33,778",,,
37400,Winton,"1,134",,,
37550,Woorabinda,962,,,
37570,Wujal Wujal,282,,,
37600,Yarrabah,"2,559",,,
,,,,,
,,,,,
