lga_name,median_aud_2013_14,median_aud_2014_15
alpine,34097,36225
ararat,37695,38901
ballarat,42225,43308
banyule,49140,51048
bass coast,34527,35820
baw baw,41250,42380
bayside,52065,53926
benalla,38668,39036
boroondara,50705,52344
brimbank,41949,42685
buloke,31025,32517
campaspe,38704,39999
cardinia,44326,45677
casey,44960,46064
central goldfields,35669,37112
colac-otway,37581,38025
corangamite,35363,37036
darebin,45324,46843
east gippsland,35897,37105
frankston,44423,45776
gannawarra,34985,36286
greater shepparton,38932,40389
hepburn,38077,40058
hindmarsh,37178,38572
hobsons bay,50650,52207
horsham,38995,40681
hume,43561,44581
indigo,42650,44409
kingston,48074,49561
knox,45870,47072
latrobe,43880,45381
loddon,33598,34960
macedon ranges,46378,48316
manningham,44926,45855
mansfield,32891,34273
maribyrnong,46329,47906
maroondah,46483,47967
melbourne,39610,40234
melton,47326,48251
mildura,36835,38259
mitchell,44826,46289
moira,37336,38444
monash,44337,45643
moonee valley,50199,51940
moorabool,46453,47528
moreland,45937,47618
mornington peninsula,40500,42100
golden plains,44357,45412
greater bendigo,41715,43031
greater dandenong,38900,40000
greater geelong,42999,43827
mount alexander,39186,39616
moyne,36306,38066
murrindindi,38132,39100
nillumbik,47923,49518
northern grampians,38230,38700
port phillip,54368,56200
pyrenees,35954,36693
queenscliffe,40353,40108
south gippsland,36973,38051
southern grampians,36461,37999
stonnington,52085,54213
strathbogie,38443,39546
surf coast,41256,42657
swan hill,35479,36495
towong,38347,38612
wangaratta,39520,41239
warrnambool,39520,39642
wellington,41338,42429
glen eira,48947,50569
glenelg,39506,40816
west wimmera,32287,33442
whitehorse,45781,46560
whittlesea,44841,45736
wodonga,44783,46018
wyndham,48110,49188
yarra,52674,54694
yarra ranges,43354,44877
yarriambiack,33495,33673
unincorporated vic,15150,14907
